pitch1_std,pitch1_max,pitch1_min,pitch1_rango,pitch1_skew,pitch1_rms,yaw1_std,yaw1_max,yaw1_min,yaw1_rango,yaw1_skew,yaw1_rms,roll1_std,roll1_max,roll1_min,roll1_rango,roll1_skew,roll1_rms,pitch2_std,pitch2_max,pitch2_min,pitch2_rango,pitch2_skew,pitch2_rms,yaw2_std,yaw2_max,yaw2_min,yaw2_rango,yaw2_skew,yaw2_rms,roll2_std,roll2_max,roll2_min,roll2_rango,roll2_skew,roll2_rms,f1_std,f1_max,f1_min,f1_rango,f1_skew,f1_rms,f2_std,f2_max,f2_min,f2_rango,f2_skew,f2_rms,f3_std,f3_max,f3_min,f3_rango,f3_skew,f3_rms,f4_std,f4_max,f4_min,f4_rango,f4_skew,f4_rms,f5_std,f5_max,f5_min,f5_rango,f5_skew,f5_rms,pitch3_std,pitch3_max,pitch3_min,pitch3_rango,pitch3_skew,pitch3_rms,etiqueta
34.77280550722337,55.31965943181818,-51.93794056818183,107.25760000000001,-0.09845081902224351,34.77280550722337,10.918032714852515,24.05379238636364,-23.928707613636362,47.9825,0.13741203497728713,10.918032714852515,25.300716685262078,49.89911715909091,-45.49698284090909,95.3961,0.13677350642635552,25.300716685262078,43.74268051413352,57.66244647727274,-68.40715352272728,126.06960000000002,-0.2848431725184701,43.74268051413352,112.81933899634923,110.83698625000001,-307.19051375,418.0275,-1.328318852860713,112.81933899634923,13.522243796899103,41.14307647727273,-22.926823522727275,64.0699,0.8248610296682245,13.522243796899103,29.258395054845955,59.36170454545456,-30.838295454545456,90.20000000000002,1.141026772492648,29.258395054845952,8.325958234753493,8.436136363636365,-15.663863636363633,24.099999999999998,-0.8283018506681676,8.325958234753493,6.929645798753184,6.842613636363637,-14.457386363636367,21.300000000000004,-0.8685274943600733,6.929645798753185,5.008980550673438,8.750454545454545,-11.749545454545455,20.5,-0.24200688101655266,5.008980550673438,3.4283216666317493,6.354431818181819,-9.245568181818186,15.600000000000005,0.0058416922097593825,3.428321666631749,77.23393990114756,117.69085051212821,-95.2838644737453,212.9747149858735,0.1308524577823668,77.23393990114756,0
35.467788281999056,60.50591602272727,-50.565683977272734,111.0716,0.0039741085134793385,35.467788281999056,11.170477792410388,25.18984375,-22.79265625,47.9825,0.11707779007153782,11.170477792410388,25.964229913134062,48.492190795454555,-46.90390920454545,95.3961,0.1029240142821058,25.964229913134062,44.15105495994847,60.984127727272735,-65.08547227272727,126.06960000000001,-0.19027069226951548,44.15105495994847,35.328379294925554,55.7579715909091,-62.364528409090916,118.12250000000002,-0.10037438848479012,35.328379294925554,10.573241399578931,23.66696079545455,-19.595139204545458,43.262100000000004,0.19148267921434375,10.573241399578931,29.820328775257714,57.40909090909092,-31.69090909090909,89.10000000000001,0.961521856961426,29.820328775257714,8.066133286671322,8.727272727272727,-15.27272727272727,23.999999999999996,-0.8172986334694752,8.066133286671322,6.732225046786425,6.56931818181819,-14.330681818181816,20.900000000000006,-0.8682574334822726,6.732225046786426,4.751322776887009,8.550227272727273,-12.249772727272727,20.8,-0.2246758583647418,4.751322776887009,2.9188401179745216,5.562045454545451,-10.137954545454546,15.699999999999998,-0.2562009731454463,2.9188401179745216,78.28205164190595,115.24702339488277,-93.93986760738085,209.18689100226362,0.12382694991957488,78.28205164190595,0
35.79949799928994,59.73241704545454,-51.339182954545464,111.0716,-0.022309666754985906,35.79949799928994,11.059708747394117,24.186115681818183,-23.796384318181822,47.9825,-0.07472842792354369,11.059708747394117,25.799038750875116,50.46329818181819,-44.932801818181815,95.3961,0.15310937418055875,25.799038750875116,43.90656650284432,61.47216477272728,-64.59743522727274,126.06960000000002,-0.15683266613233574,43.90656650284432,35.64250335267123,55.6702015909091,-60.69379840909091,116.364,-0.10360479019824692,35.64250335267123,10.681337460467924,24.78220965909091,-19.68349034090909,44.4657,0.1375888965439829,10.681337460467924,26.36453321138133,60.78602272727274,-30.213977272727277,91.00000000000001,1.2191526720996242,26.36453321138133,7.63727894186451,8.253977272727269,-14.14602272727273,22.4,-0.8337248047819603,7.63727894186451,6.457565934590739,6.57386363636364,-14.826136363636365,21.400000000000006,-0.9318532138078183,6.457565934590739,4.443101102208022,9.000568181818185,-12.499431818181815,21.5,-0.07251348913406408,4.443101102208022,2.476476258535686,5.837500000000006,-10.562499999999998,16.400000000000006,-0.40832946459130065,2.476476258535686,76.94703484429239,116.41151518838633,-84.6227593469608,201.03427453534715,0.1513469965627088,76.94703484429239,0
28.82422456709056,60.69647386363636,-57.70382613636364,118.4003,-0.5142561736179008,28.82422456709056,22.99679623246115,52.97598875000001,-61.37151125,114.34750000000001,-0.036153496156654696,22.99679623246115,33.143642249932164,77.03677454545453,-61.587225454545454,138.624,0.08762300492803221,33.143642249932164,38.07713047709968,43.990770113636366,-72.94352988636365,116.93430000000001,-0.41991932549135524,38.07713047709968,17.150690597479286,47.678498749999996,-49.51670125000001,97.1952,-0.34003232666912026,17.150690597479286,15.089113530003194,46.44068863636364,-33.845811363636365,80.2865,0.5168710295103424,15.089113530003194,1.739776954302803,5.975113636363634,-11.624886363636366,17.6,0.20339126635088797,1.739776954302803,10.371095545682014,14.663977272727294,-17.736022727272726,32.40000000000002,-0.43875063654485363,10.371095545682014,8.210418443826555,11.272500000000008,-14.027500000000003,25.30000000000001,-0.4162831722006539,8.210418443826557,9.354948914984135,22.067159090909094,-20.432840909090906,42.5,-0.041459932449443314,9.354948914984133,4.241518358200816,15.181250000000006,-12.21875,27.400000000000006,1.3785877819022903,4.241518358200816,87.52722334970707,128.99533320250697,-144.67623876834523,273.6715719708522,0.25885587711822816,87.52722334970707,0
28.850607239264463,58.643511022727274,-59.75678897727273,118.4003,-0.5708331185254383,28.850607239264463,23.969876668614344,54.412222045454556,-61.38467795454545,115.79690000000001,0.06582100503486409,23.969876668614344,32.84439225023322,79.54104863636363,-59.08295136363636,138.624,0.22395973415468853,32.84439225023322,37.649191442229444,41.164671704545455,-76.39202829545455,117.5567,-0.5517734016123024,37.649191442229444,18.8061173236012,59.995001931818194,-48.87549806818183,108.87050000000002,-0.011702304436778449,18.8061173236012,15.186380903301439,45.38302568181818,-36.53117431818182,81.9142,0.3985326709515047,15.186380903301439,1.6467501020981683,6.119318181818183,-12.380681818181817,18.5,-0.07469635540425892,1.6467501020981685,9.981346180650979,15.145113636363654,-17.254886363636366,32.40000000000002,-0.4126417167033469,9.981346180650979,8.022284806237977,11.386818181818192,-13.413181818181815,24.800000000000008,-0.4320360486817776,8.022284806237977,9.128413295156507,22.333409090909086,-18.666590909090914,41.0,0.003019829713022032,9.128413295156507,4.174042053707138,15.570454545454552,-10.229545454545452,25.800000000000004,1.6177236404139306,4.174042053707138,87.14170349590701,126.04011130304069,-147.6314606678115,273.6715719708522,0.20633690570351126,87.14170349590701,0
27.95402422563549,60.74003965909091,-57.66026034090909,118.4003,-0.5475856792801955,27.95402422563549,23.79145833827359,53.69033613636364,-62.10656386363637,115.79690000000001,-0.02420541195712,23.79145833827359,32.619346048801724,76.30354897727273,-62.32045102272727,138.624,0.10785492843555453,32.619346048801724,37.35995672090595,42.900999431818185,-74.65570056818183,117.5567,-0.47053758598347983,37.35995672090595,18.222981165328054,59.8791528409091,-48.99134715909092,108.87050000000002,-0.16026907678583482,18.222981165328054,13.715007193813268,44.16799306818182,-34.34170693181818,78.50970000000001,0.3912367438124027,13.71500719381327,1.5427018223579723,6.248295454545456,-11.251704545454544,17.5,0.21841676441496755,1.5427018223579723,9.848298587690874,16.181136363636377,-16.218863636363643,32.40000000000002,-0.2877966714148514,9.848298587690874,8.000543834821014,12.317272727272737,-14.182727272727274,26.50000000000001,-0.2645670475003035,8.000543834821014,9.13139557090339,23.32386363636364,-22.076136363636362,45.400000000000006,0.18833247312388127,9.13139557090339,4.081655188522895,16.28988636363637,-12.810113636363635,29.100000000000005,1.8984504225583199,4.081655188522895,87.75235393651626,133.30390420216642,-145.8434254167511,279.1473296189175,0.25001383090148316,87.75235393651626,0
41.73470268459326,74.07507363636364,-57.90972636363636,131.9848,0.20975131417309073,41.73470268459326,12.820172784475933,24.456800909090916,-32.88109909090909,57.337900000000005,-0.17672600527615948,12.82017278447593,20.272224845565393,44.725950568181815,-41.806149431818184,86.5321,-0.013157514071108191,20.272224845565393,38.42102686507164,55.03982079545455,-55.74117920454545,110.781,-0.061821539856505445,38.42102686507164,11.089499495967411,20.631766022727273,-21.38303397727273,42.01480000000001,0.02509499048507912,11.089499495967411,5.563850829549817,14.587007954545456,-17.101092045454543,31.6881,-0.2776231022124133,5.563850829549816,1.8884991984705641,4.879431818181821,-11.520568181818179,16.4,0.3010264547848508,1.8884991984705646,7.938509757956427,11.624431818181812,-13.27556818181818,24.89999999999999,-0.335272066071718,7.938509757956426,7.356088267178744,9.106704545454548,-13.593295454545455,22.700000000000003,-0.36036749945352753,7.356088267178744,6.278788284517763,12.165795454545446,-14.834204545454547,26.999999999999993,-0.00733031795328078,6.278788284517763,1.7766845072568305,5.024659090909097,-11.075340909090908,16.100000000000005,0.06818821919002396,1.7766845072568305,66.8478647935156,95.99168741861237,-91.22972059172096,187.22140801033333,-0.13244919382179665,66.8478647935156,0
42.182082144869746,77.04165545454546,-57.99994454545456,135.04160000000002,0.21922977741074134,42.182082144869746,12.815594995028697,23.898290000000006,-33.43961,57.337900000000005,-0.20169769529947662,12.815594995028697,20.751931734600774,44.97001886363637,-41.87288113636364,86.84290000000001,-0.013588104704511226,20.751931734600774,38.95442325151458,54.81841806818182,-55.962581931818185,110.781,-0.05605111617241746,38.95442325151458,11.39639878265104,22.43950715909091,-22.529992840909095,44.969500000000004,0.05518362961936145,11.39639878265104,5.011355104898107,11.732060568181819,-16.227939431818182,27.96,-0.6250604257371593,5.011355104898107,1.6901352968912038,4.144204545454549,-11.655795454545455,15.800000000000004,0.08168155601818973,1.6901352968912038,7.700119148717254,11.738068181818171,-13.16193181818182,24.89999999999999,-0.36626517429251937,7.7001191487172544,7.185719897242879,8.892613636363642,-13.107386363636365,22.000000000000007,-0.39874439829950054,7.185719897242879,5.895444693164823,9.819772727272735,-12.380227272727272,22.200000000000006,-0.04335169321617135,5.895444693164825,1.6838982069850905,5.119318181818187,-9.880681818181817,15.000000000000004,0.2805810925980879,1.683898206985091,66.6601441244569,94.5505631374704,-91.33184250564219,185.88240564311258,-0.15600565588684323,66.6601441244569,0
42.92270009430984,76.7804334090909,-59.2086665909091,135.9891,0.1346545187959091,42.92270009430984,13.63758484533852,25.482639886363643,-37.90486011363637,63.38750000000001,-0.3623924750894586,13.63758484533852,23.41803634726489,48.38862102272728,-43.34057897727273,91.7292,0.10854684297886939,23.41803634726489,40.273068126586914,54.045272727272724,-57.156327272727275,111.2016,-0.09207935811571902,40.273068126586914,11.650547618771638,22.796263749999998,-27.131636250000003,49.9279,-0.13802317712594647,11.650547618771638,5.132259312176853,10.649244659090911,-15.88835534090909,26.5376,-0.8341870364446651,5.132259312176853,1.659137219154422,4.314772727272729,-11.885227272727276,16.200000000000003,0.04583195823275783,1.659137219154422,7.208174523322646,10.311363636363645,-12.388636363636365,22.70000000000001,-0.40670733202464104,7.208174523322646,6.979510241430072,9.006250000000009,-13.493749999999999,22.500000000000007,-0.3976670192526861,6.979510241430072,5.612475440088729,10.044659090909096,-13.65534090909091,23.700000000000006,0.06198830858730001,5.612475440088729,2.42900362824617,14.869318181818183,-11.130681818181817,26.0,2.445091711577589,2.42900362824617,68.2399413809367,91.11441804415821,-96.78651791120024,187.90093595535845,-0.23019441843092084,68.2399413809367,0
29.443352813536794,54.58351795454545,-57.97678204545454,112.56029999999998,-0.387111958594297,29.443352813536794,40.89280767757917,82.42349670454547,-80.21240329545454,162.6359,-0.307801895089925,40.89280767757917,34.4193149534714,90.48426125,-54.514138749999994,144.9984,0.5892128894919073,34.4193149534714,30.705359383517262,29.234965909090924,-89.8897340909091,119.12470000000002,-1.0842319975832142,30.705359383517262,25.811162743190838,98.82387556818182,-41.150124431818185,139.974,1.2506905750303554,25.811162743190838,20.539863230072537,69.1284022727273,-26.477097727272728,95.60550000000003,0.979029635677406,20.539863230072537,0.7213130728541165,1.251704545454544,-11.448295454545455,12.7,-11.726464978603982,0.7213130728541166,9.624854645650329,15.766931818181817,-22.333068181818177,38.099999999999994,0.09910851597922044,9.624854645650329,5.172485663743519,10.274886363636373,-17.425113636363633,27.700000000000006,0.03700578857405024,5.172485663743519,7.93101470842594,13.247613636363653,-24.852386363636363,38.100000000000016,0.02700057038218739,7.93101470842594,3.461573799430681,7.65261363636364,-10.547386363636363,18.200000000000003,0.13256486162108766,3.461573799430681,107.11442168222503,131.90869727959705,-208.25118906941643,340.1598863490135,-0.3336817809581187,107.11442168222503,0
